AAA|AAA|Анаа|Анаа|Anaa|Anaa|Французская Полинезия|Французская Полинезия|French Polynesia|French Polynesia
AAB|AAB|||Arrabury|Arrabury|Австралия|Австралия|Australia|Australia
AAC|AAC|Аль-Ариш|Аль-Ариш|Al Arish|Al Arish|Египет|Египет|Egypt|Egypt
AAD|AAD|||Ad-Dabbah|Ad-Dabbah|Судан|Судан|Sudan|Sudan
AAE|AAE|||Annaba|Annaba|Алжир|Алжир|Algeria|Algeria
AAF|AAF|||Apalachicola|Apalachicola|США|США|United States|United States
AAG|AAG|||Arapoti|Arapoti|Бразилия|Бразилия|Brazil|Brazil
AAH|AAH|Аахен|Аахен|Aachen|Aachen|Германия|Германия|Germany|Germany
AAI|AAI|||Arraias|Arraias|Бразилия|Бразилия|Brazil|Brazil
AAJ|AAJ|Аварадам|Аварадам|Awaradam|Awaradam|Суринам|Суринам|Suriname|Suriname
AAK|AAK|Аранука|Аранука|Aranuka|Aranuka|Кирибати|Кирибати|Kiribati|Kiribati
AAL|AAL|Аальбург|Аальбург|Aalborg|Aalborg|Дания|Дания|Denmark|Denmark
AAM|AAM|Мала-Мала|Мала-Мала|Mala Mala|Mala Mala|ЮАР|ЮАР|South Africa|South Africa
AAN|AAN|Аль-Айн|Аль-Айн|Al Ain|Al Ain|ОАЭ|ОАЭ|United Arab Emirates|United Arab Emirates
AAO|AAO|Анако|Анако|Anaco|Anaco|Венесуэла|Венесуэла|Venezuela|Venezuela
AAP|AAP|||Houston, TX|Houston, TX|США|США|United States|United States
AAQ|AAQ|Анапа|Анапа|Anapa|Anapa|Россия|Россия|Russian Federation|Russian Federation
AAR|AAR|Аарус|Аарус|Aarhus|Aarhus|Дания|Дания|Denmark|Denmark
AAS|AAS|||Apalapsili|Apalapsili|Индонезия|Индонезия|Indonesia|Indonesia
AAT|AAT|Алтай|Алтай|Altay|Altay|Китай|Китай|China|China
AAU|AAU|Асау|Асау|Asau|Asau|Самоа|Самоа|Samoa|Samoa
AAV|AAV|||Surallah|Surallah|Филиппины|Филиппины|Philippines|Philippines
AAW|AAW|||Abbottabad|Abbottabad|Пакистан|Пакистан|Pakistan|Pakistan
AAX|AAX|||Araxa|Araxa|Бразилия|Бразилия|Brazil|Brazil
AAY|AAY|Аль-Гайда|Аль-Гайда|Al Ghaydah|Al Ghaydah|Йемен|Йемен|Yemen|Yemen
